Steps	update/episode	update/cum_cost	train/reward	train/cost	train/length	train/cost_distance	train/cost_speed	loss/rescaling	loss/lagrangian	loss/actor_safety	loss/lagrangian_1	loss/actor_safety_1	loss/actor_rew	loss/actor_total	loss/kl	loss/vf0	loss/vf1	loss/vf2	loss/vf_total	loss/total	loss/entropy	update/gradient_steps	test/reward	test/cost	test/length	test/cost_distance	test/cost_speed	update/duration	update/test_time	update/test_speed	update/train_collector_time	update/train_model_time	update/train_speed	update/remaining_epoch	update/env_step
20000	33.333333333333336	4481.0	-524.4547656298328	132.5	500.0	26.45	106.05	0.10561842937985833	2.2384500000000003	0.000981013057753444	8.946074999999999	-0.05635873654968715	0.02273330184368368	-0.0016114085285933847	0.03210270996643309	106.22546958108231	6.813832556080613	11.743938401214088	124.78324050577267	31.194198755117558	2.842935270733303	78.0	-426.44914878837534	0.0	500.0	0.0	0.0	71.13318634033203	7.880369663238525	126.8976003327538	52.89544200897217	10.357374668121338	316.1914528186195	299.0	20000.0
40000	2.0	73.33333333333333	6380.333333333333	-437.620053508678	31.025000000000002	500.0	18.125	12.9	0.33331070709477767	1.5371166666666667	-0.008280897919988085	0.46755833333333335	-0.004980716327977425	0.0037762429007989757	-0.0031239038589944567	0.013585134900899399	8.99962613776199	3.5940945097523875	1.0489400441829966	13.642660663678091	3.407541258212847	2.8637703850738014	273.0	-322.319032787623	0.0	500.0	0.0	0.0	149.58921241760254	15.666631937026978	127.6598574626076	104.57288265228271	29.349697828292847	298.68002734461714	298.0	40000.0
60000	2.0	113.33333333333333	7689.666666666667	-366.6674875672127	29.775000000000002	500.0	29.775000000000002	0.0	0.45976365933434077	2.978512500000002	-0.0077259673086630875	0.01344999999999999	-4.084992452700858e-05	0.00038518390115664284	-0.002386111622636752	0.0076939537546609395	1.773107623824707	4.547879885213501	0.037555159432276206	6.358542681886603	1.5872495621920404	2.8826787509979357	585.0	-276.7754982099526	71.0	500.0	71.0	0.0	236.27722239494324	23.615533113479614	127.03503179810143	157.26854181289673	55.393147468566895	282.13826478444054	297.0	60000.0
80000	2.0	153.33333333333334	8632.666666666666	-358.76517567780246	24.299999999999997	500.0	24.299999999999997	0.0	0.4080622668958725	2.780974999999999	-0.009965282533882536	0.011449999999999988	-3.0381362258151786e-05	-0.0019010867056353244	-0.00458326688545537	0.007420145959118739	0.551747836936743	2.7303616784942837	0.0023457166075203516	3.2844552353788674	0.816530541469081	2.8567864252970754	897.0	-215.80189761541993	0.0	500.0	0.0	0.0	322.5369408130646	31.625226497650146	126.48130758200934	209.35971784591675	81.55199646949768	274.9975200835736	296.0	80000.0
100000	2.0	193.33333333333334	9054.666666666666	-316.96191155822675	12.0	500.0	12.0	0.0	0.5504024790704869	1.3363000000000005	-0.010441540062087234	0.009449999999999986	-1.0949370719642438e-05	-0.0024295863895997904	-0.005978897599402211	0.009003942958467332	0.30252457510393427	1.1408637400047903	0.00037430000760744	1.4437626182841956	0.3549617585033561	2.8403590214558134	1209.0	-288.843337481956	0.0	500.0	0.0	0.0	408.47771668434143	39.81117105484009	125.5928893202482	261.52666664123535	107.13987898826599	271.2478286557006	295.0	100000.0
120000	2.0	233.33333333333334	9572.333333333334	-270.3560313338244	13.7	500.0	13.7	0.0	0.6422218683535112	1.2025333333333335	-0.0077389210797637374	0.007616666666666652	7.780479962124622e-06	-0.007344371820282605	-0.009359618024826077	0.011701321733742847	0.1895669553842809	1.4079684594120743	8.869257303597564e-05	1.597624107685863	0.3900464077790577	2.816238387018188	1482.0	-244.6326430131095	0.0	500.0	0.0	0.0	487.5094094276428	47.78017067909241	125.57510604761136	313.14097595214844	126.58826279640198	272.8952032880838	294.0	120000.0
140000	2.0	273.3333333333333	9959.333333333334	-264.194601518187	8.525	500.0	8.525	0.0	0.6813793704862934	1.1106464285714284	-0.005002834329685361	0.005521428571428553	-3.719674261959977e-06	-0.010401969439957305	-0.009639205079328158	0.013653865298972674	0.14640795144733498	0.6692187963155931	7.896346681633619e-05	0.8157057099235362	0.19428722197428727	2.801603760911431	1735.5	-222.76175255743468	0.0	500.0	0.0	0.0	571.0040817260742	55.834317445755005	125.37092455371636	365.5202989578247	149.6494653224945	271.75507901861613	293.0	140000.0
160000	2.0	313.3333333333333	10214.666666666666	-239.11677490796242	3.925	500.0	3.925	0.0	0.8230730211966123	0.21697500000000014	0.0006042128682169366	0.00344999999999998	1.1148034913660988e-06	-0.013008288645113893	-0.010046415757925392	0.010831904405047403	0.1260419950271265	0.4649828988372181	5.022912732025966e-05	0.5910751241712998	0.1377223659700786	2.7596666721197294	2028.0	-199.5525895163418	0.0	500.0	0.0	0.0	657.4349086284637	63.86370086669922	125.26677739359576	418.1248733997345	175.44633436203003	269.5548535841677	292.0	160000.0
180000	2.0	353.3333333333333	11809.0	-229.9818399231056	44.875	500.0	44.875	0.0	0.23930783124927232	5.052325000000004	-0.02466645609372512	0.0014499999999999786	4.424318857047151e-06	-0.0003242030765654335	-0.004919602565826569	0.013670518300814442	0.11089980670720594	3.646740175719953	2.599855244827468e-05	3.7576659856698456	0.934496894096717	2.7394092133921415	2281.5	-216.27594904124277	0.0	500.0	0.0	0.0	736.8072214126587	71.81253051757812	125.32631749826722	470.31669569015503	194.67799520492554	270.6788527254565	291.0	180000.0
200000	2.0	393.3333333333333	12688.0	-216.94836934147838	22.75	500.0	22.75	0.0	0.5051092879204571	1.9252416666666667	-0.008736007555356074	0.0	0.0	-0.003329021089041656	-0.004900600687551493	0.010926554236226734	0.0745647856249259	1.9566114382484026	1.751952430643922e-05	2.031193749899538	0.5028978349306642	2.724798568293581	2535.0	-222.19441874355624	0.0	500.0	0.0	0.0	816.7603633403778	79.97267031669617	125.04271722326453	522.8620932102203	213.9255998134613	271.4486166011077	290.0	200000.0
