Steps	update/episode	update/cum_cost	train/reward	train/cost	train/length	train/cost_distance	train/cost_speed	loss/estep_loss	estep/dual0	estep/dual1	estep/estep_time	mstep/mstep_kl_mu	mstep/mstep_kl_std	mstep/mstep_loss_kl	mstep/mstep_loss_mle	mstep/mstep_loss_total	mstep/mstep_dual_mu	mstep/mstep_dual_std	mstep/entropy	mstep/mstep_time	loss/loss_q0	estep/val_q0	loss/loss_q1	estep/val_q1	estep/thres_q1	loss/q_total	update/gradient_steps	test/reward	test/cost	test/length	test/cost_distance	test/cost_speed	update/duration	update/test_time	update/test_speed	update/train_collector_time	update/train_model_time	update/train_speed	update/remaining_epoch	update/env_step
20000	28.0	2313.6	-503.2581526108321	85.32499999999999	500.0	11.1	74.225	-41.19377299433118	8.654156013756962	18.09134301819091	64.49286252993352	0.004979793576740117	0.0005144437059934727	-0.0003678913642021552	0.32941554805636303	0.3290476564541473	0.16395990419760334	0.3696279821135091	5.23981913506984	90.22534996509533	0.6464955081511294	-32.55607560864088	0.12558148752269366	0.4885082846637811	0.0033333333333333305	0.7720769955255082	2500.0	-545.3438800138068	0.0	500.0	0.0	0.0	641.2937545776367	9.511102199554443	105.14028542841712	108.46934032440186	523.3133120536804	31.656456416962925	399.0	20000.0
40000	2.0	2.0	68.0	4710.4	-567.3055097481611	53.375	500.0	0.0	53.375	-38.71947097301469	9.407597656369196	19.54427480125431	193.20459766000513	0.004955400190741317	0.0005128816274809652	-0.0003033891023221017	0.3311557746157056	0.33085238559544056	0.13179365044273444	0.3064679671945058	5.2724426741600015	270.16785793650155	0.5709330851435647	-37.028919838905516	0.08744447261467586	0.11954218426268155	0.0033333333333333305	0.6583775582164502	6500.0	-700.3464248115791	166.5	500.0	0.0	166.5	1281.079202413559	18.88193440437317	105.92135091502003	216.8957450389862	1045.3015229701996	31.690767373542513	398.0	40000.0
60000	2.0	2.0	108.0	6283.0	-456.5094003220944	19.799999999999997	500.0	0.0	19.799999999999997	-36.031250016689334	3.1576933164000374	4.752692604355845	321.7533095839028	0.004942165689673219	0.000499714453064372	-0.00017933432853125414	0.332441158510744	0.3322618244364864	0.07236419095657744	0.14117237591743487	5.314449395418181	450.3695631529692	0.5043841904401786	-36.26766256904593	0.054420286095701244	0.00220749838101618	0.0033333333333333305	0.5588044766113169	10500.0	-346.94410833740335	0.0	500.0	0.0	0.0	1921.224133014679	28.290749311447144	106.04173000063045	325.4328966140747	1567.500487089157	31.696836516570524	397.0	60000.0
80000	2.0	2.0	148.0	6351.0	-323.3483496931325	0.275	500.0	0.0	0.275	-31.436952813148473	1.586207299888129	1.8391884520649933	450.1768746373058	0.004813603962079236	0.00050560221177875	-9.19799186721055e-05	0.3337979216054078	0.3337059416174894	0.03503980637155477	0.14260748256370442	5.356302948713303	630.2808807178753	0.3414222136586897	-31.592882484912813	0.04002195124654101	0.017829156588311825	0.0033333333333333305	0.3814441648311907	14500.0	-246.49333883733783	0.0	500.0	0.0	0.0	2560.486701488495	37.58029079437256	106.43877190537808	433.62544298171997	2089.2809677124023	31.709460034226858	396.0	80000.0
100000	2.0	2.0	188.0	6351.0	-290.0994681876061	0.0	500.0	0.0	0.0	-28.391693289279978	1.331835104972126	1.586597530329211	578.8821761550323	0.0046386085780613885	0.0005011894847557426	-3.492858553001779e-05	0.33364680486917575	0.3336118762791153	0.002753529131412505	0.15468855727650227	5.358587392687804	810.4069085260605	0.26166526649519883	-28.55807069110866	0.03254011853574781	0.016027539085058332	0.0033333333333333305	0.2942053850144145	18500.0	-298.5787082495042	0.0	500.0	0.0	0.0	3200.840261697769	46.844200134277344	106.73679955400382	541.8418908119202	2612.1541707515717	31.70581004163595	395.0	100000.0
120000	2.0	2.0	228.0	6351.0	-263.85035318953084	0.0	500.0	0.0	0.0	-26.13225693416594	1.1983687392622264	2.0742150343571892	707.610262326718	0.0037956499451502123	0.0004993341023800916	-3.258142950944553e-05	0.331150726892053	0.3311181453764425	0.0	0.17033462941180913	5.315574820876117	990.507990628779	0.2104811624940487	-26.29599639940261	0.025227486813208137	0.014893018752220107	0.0033333333333333305	0.23570864934101732	22500.0	-256.7828555271369	0.0	500.0	0.0	0.0	3841.1231484413147	56.05257868766785	107.04235452632373	650.2517733573914	3134.8187963962555	31.7035040136148	394.0	120000.0
140000	2.0	2.0	268.0	6637.8	-263.7641117088728	11.950000000000001	500.0	11.950000000000001	0.0	-25.151157936573007	3.227989162266257	9.395335618108508	836.3418234211803	0.004387982511426792	0.0005021543162874889	-0.00016350096031744732	0.3302170941680674	0.3300535932406785	0.05494974280323361	0.22379030731506613	5.288904840111738	1170.5257911535527	0.18926289959624373	-24.794611408233582	0.034046958203136614	0.04780793470314533	0.0033333333333333305	0.22330985783785567	26500.0	-310.6688676365844	0.0	500.0	0.0	0.0	4481.041178226471	65.48007130622864	106.90275469101607	758.7593655586243	3656.801741361618	31.706049720518294	393.0	140000.0
160000	2.0	2.0	308.0	6829.0	-288.85255532596204	0.0	500.0	0.0	0.0	-24.68986889171602	6.094682660222039	19.996904810428635	964.822977520944	0.004988009097040622	0.0005126883990596979	-0.00016367873869966616	0.32766859496384876	0.3275049163177612	0.058730134203389676	0.2307558670765722	5.236816707491883	1350.655395194592	0.17697723901458084	-24.134601782321944	0.04664632690500016	0.060409140388248524	0.0033333333333333305	0.22362356602400568	30500.0	-308.1561292703974	0.0	500.0	0.0	0.0	5121.123361825943	74.82400631904602	106.91755752676994	867.0617423057556	4179.237613201141	31.70640279701126	392.0	160000.0
180000	2.0	2.0	348.0	6829.0	-290.42049423234624	0.0	500.0	0.0	0.0	-23.56479928731918	4.366367241665712	15.061728414202072	1093.2887001013776	0.004773581510288746	0.0005055734486959411	-7.397006697080114e-05	0.3297336560934777	0.32965968605130946	0.011334181041456795	0.24619069449510483	5.263831751465776	1530.821442237973	0.16934805980883552	-23.738089096069285	0.04129527658206638	0.01758364095920113	0.0033333333333333305	0.21064333623275194	34500.0	-309.29945757656094	0.0	500.0	0.0	0.0	5760.722578287125	84.12004661560059	106.98995497621246	975.4405293464661	4701.162002325058	31.70910751558247	391.0	180000.0
200000	2.0	2.0	388.0	6842.2	-296.203280962235	0.825	500.0	0.525	0.3	-23.134913508415202	1.053685568571093	1.870238844798236	1222.0986039804834	0.003437736547699843	0.0004962262185872533	-2.0624041659857585e-05	0.3273233160898081	0.32730269203335105	0.0	0.13895542525756172	5.239744114041342	1710.697679422079	0.1650898465085776	-23.231087710857366	0.03406137214973575	0.019100381404437983	0.0033333333333333305	0.19915121843293346	38500.0	-328.3752908016719	0.0	500.0	0.0	0.0	6401.249879360199	93.43066644668579	107.0312391029158	1083.94771027565	5223.871502637863	31.706679162674064	390.0	200000.0
220000	2.0	2.0	428.0	6862.0	-273.5161751059554	0.0	500.0	0.0	0.0	-22.129496775627164	0.8057102188467995	1.6961591571286951	1350.7540208273515	0.0038370853723524766	0.0004992020495701581	-2.5068209094945034e-05	0.3264910989329221	0.32646603075414826	0.0	0.1434987380031954	5.22647781193256	1890.7797144748583	0.12497708756476592	-22.213144740581445	0.026348656324844406	0.013498756887638616	0.0033333333333333305	0.1513257438959552	42500.0	-368.7265478523543	0.0	500.0	0.0	0.0	7041.423934459686	102.82323861122131	106.97970758917087	1192.4298827648163	5746.170813083649	31.706681165790588	389.0	220000.0
